region,year,year.class,lower,upper
cr,2000,0,0,18
cr,2000,1,19,33
cr,2000,2,34,48
cr,2000,3,49,59
cr,2000,4,60,69
cr,2000,5,70,80
cr,2000,6+,81,200
cr,2001,0,0,17
cr,2001,1,18,33
cr,2001,2,34,48
cr,2001,3,49,59
cr,2001,4,60,69
cr,2001,5,70,80
cr,2001,6+,81,200
cr,2002,0,0,17
cr,2002,1,18,33
cr,2002,2,34,48
cr,2002,3,49,59
cr,2002,4,60,69
cr,2002,5,70,80
cr,2002,6+,81,200
cr,2003,0,0,16
cr,2003,1,17,30
cr,2003,2,31,49
cr,2003,3,50,59
cr,2003,4,60,69
cr,2003,5,70,80
cr,2003,6+,81,200
cr,2004,0,0,17
cr,2004,1,18,31
cr,2004,2,32,49
cr,2004,3,50,59
cr,2004,4,60,69
cr,2004,5,70,80
cr,2004,6+,81,200
cr,2005,0,0,18
cr,2005,1,19,33
cr,2005,2,34,49
cr,2005,3,50,59
cr,2005,4,60,69
cr,2005,5,70,80
cr,2005,6+,81,200
cr,2006,0,0,18
cr,2006,1,19,33
cr,2006,2,34,49
cr,2006,3,50,59
cr,2006,4,60,69
cr,2006,5,70,80
cr,2006,6+,81,200
cr,2007,0,0,18
cr,2007,1,19,32
cr,2007,2,33,49
cr,2007,3,50,59
cr,2007,4,60,69
cr,2007,5,70,80
cr,2007,6+,81,200
cr,2008,0,0,19
cr,2008,1,20,31
cr,2008,2,32,49
cr,2008,3,50,58
cr,2008,4,59,69
cr,2008,5,70,80
cr,2008,6+,81,200
cr,2009,0,0,18
cr,2009,1,19,31
cr,2009,2,32,47
cr,2009,3,48,59
cr,2009,4,60,69
cr,2009,5,70,80
cr,2009,6+,81,200
cr,2010,0,0,19
cr,2010,1,20,31
cr,2010,2,32,47
cr,2010,3,48,59
cr,2010,4,60,69
cr,2010,5,70,80
cr,2010,6+,81,200
cr,2011,0,0,18
cr,2011,1,19,31
cr,2011,2,32,47
cr,2011,3,48,59
cr,2011,4,60,69
cr,2011,5,70,80
cr,2011,6+,81,200
cr,2012,0,0,19
cr,2012,1,20,33
cr,2012,2,34,49
cr,2012,3,50,59
cr,2012,4,60,69
cr,2012,5,70,80
cr,2012,6+,81,200
cr,2013,0,0,19
cr,2013,1,20,33
cr,2013,2,34,49
cr,2013,3,50,59
cr,2013,4,60,69
cr,2013,5,70,80
cr,2013,6+,81,200
cr,2014,0,0,19
cr,2014,1,20,33
cr,2014,2,34,49
cr,2014,3,50,59
cr,2014,4,60,69
cr,2014,5,70,80
cr,2014,6+,81,200
cr,2015,0,0,19
cr,2015,1,20,33
cr,2015,2,34,49
cr,2015,3,50,59
cr,2015,4,60,69
cr,2015,5,70,80
cr,2015,6+,81,200
cr,2016,0,0,19
cr,2016,1,20,34
cr,2016,2,35,49
cr,2016,3,50,59
cr,2016,4,60,69
cr,2016,5,70,80
cr,2016,6+,81,200
cr,2017,0,0,19
cr,2017,1,20,34
cr,2017,2,35,49
cr,2017,3,50,59
cr,2017,4,60,69
cr,2017,5,70,80
cr,2017,6+,81,200
cr,2018,0,0,19
cr,2018,1,20,33
cr,2018,2,34,49
cr,2018,3,50,59
cr,2018,4,60,69
cr,2018,5,70,80
cr,2018,6+,81,200
sh,2005,0,0,25
sh,2005,1,26,38
sh,2005,2,39,49
sh,2005,3,50,59
sh,2005,4,60,69
sh,2005,5,70,80
sh,2005,6+,81,200
sh,2006,0,0,25
sh,2006,1,26,38
sh,2006,2,39,49
sh,2006,3,50,59
sh,2006,4,60,69
sh,2006,5,70,80
sh,2006,6+,81,200
sh,2007,0,0,25
sh,2007,1,26,38
sh,2007,2,39,49
sh,2007,3,50,59
sh,2007,4,60,69
sh,2007,5,70,80
sh,2007,6+,81,200
sh,2008,0,0,26
sh,2008,1,27,38
sh,2008,2,39,49
sh,2008,3,50,59
sh,2008,4,60,69
sh,2008,5,70,80
sh,2008,6+,81,200
sh,2009,0,0,25
sh,2009,1,26,36
sh,2009,2,37,49
sh,2009,3,50,59
sh,2009,4,60,69
sh,2009,5,70,80
sh,2009,6+,81,200
sh,2010,0,0,24
sh,2010,1,25,36
sh,2010,2,37,49
sh,2010,3,50,59
sh,2010,4,60,69
sh,2010,5,70,80
sh,2010,6+,81,200
sh,2011,0,0,26
sh,2011,1,27,38
sh,2011,2,39,49
sh,2011,3,50,59
sh,2011,4,60,69
sh,2011,5,70,80
sh,2011,6+,81,200
sh,2012,0,0,26
sh,2012,1,27,38
sh,2012,2,39,49
sh,2012,3,50,59
sh,2012,4,60,69
sh,2012,5,70,80
sh,2012,6+,81,200
sh,2013,0,0,26
sh,2013,1,27,38
sh,2013,2,39,49
sh,2013,3,50,59
sh,2013,4,60,69
sh,2013,5,70,80
sh,2013,6+,81,200
sh,2014,0,0,22
sh,2014,1,23,33
sh,2014,2,34,49
sh,2014,3,50,59
sh,2014,4,60,69
sh,2014,5,70,80
sh,2014,6+,81,200
sh,2015,0,0,24
sh,2015,1,25,37
sh,2015,2,38,49
sh,2015,3,50,59
sh,2015,4,60,69
sh,2015,5,70,80
sh,2015,6+,81,200
sh,2016,0,0,24
sh,2016,1,25,37
sh,2016,2,38,49
sh,2016,3,50,59
sh,2016,4,60,69
sh,2016,5,70,80
sh,2016,6+,81,200
sh,2017,0,0,19
sh,2017,1,20,34
sh,2017,2,35,49
sh,2017,3,50,59
sh,2017,4,60,69
sh,2017,5,70,80
sh,2017,6+,81,200
sh,2018,0,0,21
sh,2018,1,22,33
sh,2018,2,34,49
sh,2018,3,50,59
sh,2018,4,60,69
sh,2018,5,70,80
sh,2018,6+,81,200
ri,2008,0,0,23
ri,2008,1,24,38
ri,2008,2,39,49
ri,2008,3,50,59
ri,2008,4,60,69
ri,2008,5,70,80
ri,2008,6+,81,200
ri,2009,0,0,21
ri,2009,1,22,37
ri,2009,2,38,49
ri,2009,3,50,59
ri,2009,4,60,69
ri,2009,5,70,80
ri,2009,6+,81,200
ri,2010,0,0,21
ri,2010,1,22,37
ri,2010,2,38,49
ri,2010,3,50,59
ri,2010,4,60,69
ri,2010,5,70,80
ri,2010,6+,81,200
ri,2011,0,0,23
ri,2011,1,24,37
ri,2011,2,38,49
ri,2011,3,50,59
ri,2011,4,60,69
ri,2011,5,70,80
ri,2011,6+,81,200
ri,2012,0,0,23
ri,2012,1,24,38
ri,2012,2,39,49
ri,2012,3,50,59
ri,2012,4,60,69
ri,2012,5,70,80
ri,2012,6+,81,200
ri,2013,0,0,22
ri,2013,1,23,38
ri,2013,2,39,49
ri,2013,3,50,59
ri,2013,4,60,69
ri,2013,5,70,80
ri,2013,6+,81,200
ri,2014,0,0,22
ri,2014,1,23,38
ri,2014,2,39,49
ri,2014,3,50,59
ri,2014,4,60,69
ri,2014,5,70,80
ri,2014,6+,81,200
ri,2015,0,0,22
ri,2015,1,23,37
ri,2015,2,38,49
ri,2015,3,50,59
ri,2015,4,60,69
ri,2015,5,70,80
ri,2015,6+,81,200
ri,2016,0,0,24
ri,2016,1,25,39
ri,2016,2,40,49
ri,2016,3,50,59
ri,2016,4,60,69
ri,2016,5,70,80
ri,2016,6+,81,200
ri,2017,0,0,19
ri,2017,1,20,34
ri,2017,2,35,49
ri,2017,3,50,59
ri,2017,4,60,69
ri,2017,5,70,80
ri,2017,6+,81,200
ri,2018,0,0,21
ri,2018,1,22,37
ri,2018,2,38,49
ri,2018,3,50,59
ri,2018,4,60,69
ri,2018,5,70,80
ri,2018,6+,81,200
fh,2014,0,0,26
fh,2014,1,27,38
fh,2014,2,39,49
fh,2014,3,50,59
fh,2014,4,60,69
fh,2014,5,70,80
fh,2014,6+,81,200
fh,2017,0,0,19
fh,2017,1,20,34
fh,2017,2,35,49
fh,2017,3,50,59
fh,2017,4,60,69
fh,2017,5,70,80
fh,2017,6+,81,200
fh,2018,0,0,19
fh,2018,1,20,34
fh,2018,2,35,49
fh,2018,3,50,59
fh,2018,4,60,69
fh,2018,5,70,80
fh,2018,6+,81,200
cg,2014,0,0,26
cg,2014,1,27,38
cg,2014,2,39,49
cg,2014,3,50,59
cg,2014,4,60,69
cg,2014,5,70,80
cg,2014,6+,81,200
cg,2017,0,0,19
cg,2017,1,20,34
cg,2017,2,35,49
cg,2017,3,50,59
cg,2017,4,60,69
cg,2017,5,70,80
cg,2017,6+,81,200
cg,2018,0,0,20
cg,2018,1,21,33
cg,2018,2,34,49
cg,2018,3,50,59
cg,2018,4,60,69
cg,2018,5,70,80
cg,2018,6+,81,200
